epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.3915,0.2954,0.7348,0.7057,0.6745,0.1794,2.80e-06,2.80e-04,2026-06-17 03:39:17
2,0.3138,0.2729,0.7635,0.7395,0.6901,0.1517,4.60e-06,4.60e-04,2026-06-17 03:42:47
3,0.2708,0.2524,0.7911,0.7685,0.7261,0.1702,6.40e-06,6.40e-04,2026-06-17 03:46:12
4,0.2421,0.2456,0.8057,0.7823,0.7513,0.1821,8.20e-06,8.20e-04,2026-06-17 03:49:41
5,0.2138,0.2396,0.8101,0.7857,0.7600,0.1715,1.00e-05,1.00e-03,2026-06-17 03:53:05
6,0.1862,0.2380,0.8251,0.8005,0.7842,0.1887,9.99e-06,9.99e-04,2026-06-17 03:56:34
7,0.1651,0.2365,0.8243,0.8003,0.7769,0.1741,9.95e-06,9.95e-04,2026-06-17 04:00:04
8,0.1490,0.2394,0.8318,0.8058,0.7936,0.1807,9.89e-06,9.89e-04,2026-06-17 04:03:31
9,0.1355,0.2368,0.8329,0.8071,0.7960,0.1860,9.81e-06,9.81e-04,2026-06-17 04:06:58
10,0.1252,0.2397,0.8385,0.8151,0.8033,0.1966,9.70e-06,9.70e-04,2026-06-17 04:10:24
11,0.1146,0.2448,0.8404,0.8167,0.8113,0.2018,9.57e-06,9.57e-04,2026-06-17 04:13:50
12,0.1072,0.2497,0.8381,0.8136,0.8150,0.2045,9.42e-06,9.41e-04,2026-06-17 04:17:17
13,0.1011,0.2518,0.8351,0.8113,0.8086,0.2098,9.25e-06,9.24e-04,2026-06-17 04:20:41
14,0.0954,0.2534,0.8430,0.8198,0.8140,0.1966,9.05e-06,9.05e-04,2026-06-17 04:24:07
15,0.0922,0.2540,0.8426,0.8196,0.8110,0.1979,8.84e-06,8.83e-04,2026-06-17 04:27:33
16,0.0863,0.2564,0.8419,0.8193,0.8066,0.2071,8.61e-06,8.60e-04,2026-06-17 04:30:59
17,0.0814,0.2642,0.8370,0.8134,0.8056,0.2164,8.36e-06,8.35e-04,2026-06-17 04:34:24
18,0.0807,0.2693,0.8351,0.8122,0.8054,0.2256,8.10e-06,8.08e-04,2026-06-17 04:37:52
19,0.0777,0.2716,0.8355,0.8127,0.8073,0.2256,7.82e-06,7.80e-04,2026-06-17 04:41:17
20,0.0778,0.2708,0.8366,0.8141,0.8059,0.2216,7.53e-06,7.50e-04,2026-06-17 04:44:46
21,0.0722,0.2718,0.8325,0.8085,0.7932,0.2124,7.22e-06,7.19e-04,2026-06-17 04:48:14
22,0.0711,0.2751,0.8329,0.8086,0.7973,0.2137,6.90e-06,6.87e-04,2026-06-17 04:51:42
23,0.0683,0.2824,0.8344,0.8101,0.7978,0.2111,6.58e-06,6.55e-04,2026-06-17 04:55:10
24,0.0671,0.2855,0.8336,0.8100,0.7956,0.2164,6.25e-06,6.21e-04,2026-06-17 04:58:35
25,0.0654,0.2906,0.8325,0.8073,0.7958,0.2230,5.91e-06,5.87e-04,2026-06-17 05:02:00
26,0.0629,0.2961,0.8325,0.8077,0.7944,0.2256,5.57e-06,5.52e-04,2026-06-17 05:05:29
27,0.0627,0.2951,0.8329,0.8081,0.7958,0.2243,5.22e-06,5.17e-04,2026-06-17 05:08:55
28,0.0603,0.2949,0.8318,0.8068,0.7937,0.2190,4.88e-06,4.83e-04,2026-06-17 05:12:19
29,0.0599,0.2918,0.8329,0.8079,0.8022,0.2177,4.53e-06,4.48e-04,2026-06-17 05:15:46
30,0.0571,0.2989,0.8325,0.8066,0.8022,0.2164,4.19e-06,4.13e-04,2026-06-17 05:19:12
31,0.0594,0.2982,0.8325,0.8058,0.8050,0.2137,3.85e-06,3.79e-04,2026-06-17 05:22:41
32,0.0554,0.3010,0.8280,0.7997,0.7893,0.2150,3.52e-06,3.46e-04,2026-06-17 05:26:11
