eval_target,exp_name,precision_danger,recall_danger,miss_rate,accuracy,f1_macro,coverage
all,exp_ar_448_tta,0.869398,0.850877,0.109023,0.759714,0.510705,0.943763
all,exp_ensemble_336_448,0.868586,0.869674,0.093985,0.774029,0.522338,0.944785
all,exp_al_ema,0.865513,0.814536,0.116541,0.729039,0.48277,0.913088
all,exp_ap_f1best,0.864721,0.817043,0.120301,0.730061,0.486238,0.917178
all,exp_aq_multipad,0.864641,0.784461,0.110276,0.708589,0.477518,0.881391
all,exp_ar_448,0.86398,0.859649,0.105263,0.762781,0.505728,0.948875
all,exp_am_cls_att,0.861518,0.810777,0.115288,0.723926,0.477919,0.91002
all,exp_ab_mean_pad,0.860759,0.681704,0.131579,0.622699,0.416744,0.790389
all,exp_ah_regularize,0.855405,0.793233,0.131579,0.703476,0.443299,0.917178
all,exp_ak_regularize2,0.852941,0.83584,0.107769,0.733129,0.45638,0.933538
all,exp_ah_orig,0.852151,0.794486,0.121554,0.707566,0.461555,0.904908
all,exp_aj_linear,0.848329,0.827068,0.066416,0.719836,0.433256,0.880368
crops_25pct,exp_ar_448_tta,0.878327,0.868421,0.101504,0.779141,0.540146,0.95092
crops_25pct,exp_ensemble_336_448,0.873134,0.879699,0.086466,0.785276,0.539473,0.947853
crops_25pct,exp_al_ema,0.869565,0.827068,0.120301,0.739264,0.488378,0.929448
crops_25pct,exp_ar_448,0.869403,0.87594,0.101504,0.779141,0.533522,0.957055
crops_25pct,exp_ap_f1best,0.868526,0.819549,0.12406,0.736196,0.504456,0.920245
crops_25pct,exp_am_cls_att,0.866142,0.827068,0.120301,0.739264,0.499612,0.929448
crops_25pct,exp_aq_multipad,0.863454,0.808271,0.112782,0.726994,0.49147,0.904908
crops_25pct,exp_ab_mean_pad,0.862385,0.706767,0.135338,0.634969,0.409265,0.819018
crops_25pct,exp_ak_regularize2,0.861004,0.838346,0.120301,0.742331,0.478501,0.947853
crops_25pct,exp_ah_regularize,0.859504,0.781955,0.142857,0.693252,0.425612,0.92638
crops_25pct,exp_aj_linear,0.853933,0.857143,0.052632,0.745399,0.452128,0.892638
crops_25pct,exp_ah_orig,0.851562,0.819549,0.120301,0.723926,0.470724,0.923313
